fromPaperId,toPaperId
983,692
59,216
40,594
840,178
74,906
733,878
366,718
393,806
183,688
803,295
823,524
875,571
454,640
849,19
560,866
800,362
42,330
877,905
187,823
786,277
909,873
104,493
336,274
828,905
516,845
760,352
213,468
310,265
14,37
542,174
503,333
190,383
349,726
343,337
298,448
284,933
631,245
535,138
702,300
547,820
74,993
390,956
360,956
89,431
602,690
616,897
640,924
98,846
976,888
521,187
641,146
41,308
768,873
695,801
800,277
896,11
825,440
736,856
611,381
468,843
918,187
809,36
54,483
568,806
954,840
617,46
867,194
175,821
434,142
545,738
321,409
953,855
895,158
849,872
30,527
660,724
273,363
986,110
939,774
976,885
280,735
719,295
60,44
675,808
156,400
373,656
712,213
854,227
241,73
408,186
168,887
673,827
389,824
344,487
761,265
701,930
222,965
448,331
800,838
365,997
405,681
443,581
458,30
203,97
120,692
485,178
724,912
467,524
945,677
293,202
67,300
635,756
777,141
43,719
184,359
744,137
33,105
912,852
563,75
807,23
894,357
861,598
496,616
510,590
820,16
698,629
916,808
316,110
205,344
925,171
792,366
579,851
197,490
233,116
965,740
287,589
495,87
864,266
202,68
765,282
877,615
794,34
305,986
780,892
99,558
695,307
359,506
732,524
562,655
654,607
519,976
987,769
673,10
364,845
171,628
120,447
648,406
201,328
738,560
677,953
852,5
698,126
144,127
861,54
989,399
589,30
983,90
196,537
132,939
140,96
123,642
234,226
10,303
186,693
140,949
753,389
599,615
891,606
779,130
564,924
245,744
791,300
960,634
812,988
430,578
896,53
130,760
841,488
915,997
113,920
535,565
420,154
28,74
757,142
443,957
322,689
772,566
916,279
504,728
398,627
583,132
646,428
131,63
712,424
435,449
480,552
815,889
281,909
353,159
523,705
164,16
671,686
881,474
736,549
48,733
894,757
241,665
950,267
705,501
285,177
741,510
152,470
276,388
764,468
261,106
322,458
873,427
300,83
584,942
795,81
493,83
598,974
860,418
425,702
775,731
998,110
207,838
32,904
982,949
85,153
371,726
677,927
989,761
396,363
518,194
491,688
791,511
529,10
745,283
292,772
407,142
993,424
855,957
211,284
97,632
635,608
226,17
12,889
928,325
944,695
598,595
758,404
351,720
385,381
522,756
914,950
378,670
986,477
401,327
767,6
309,951
101,380
357,283
73,420
265,498
547,229
788,946
90,155
684,601
575,938
749,758
221,308
267,207
916,571
677,421
386,730
205,723
109,203
352,562
838,126
524,153
929,215
349,214
561,717
968,715
560,692
795,945
224,186
799,504
898,415
193,198
278,987
953,529
37,719
6,331
990,96
427,661
465,460
973,119
120,102
802,128
611,481
857,940
813,719
381,859
410,94
304,989
327,668
644,947
994,904
512,114
894,927
960,698
552,363
617,449
311,511
48,467
675,618
33,353
418,794
680,806
787,20
686,893
5,178
565,518
514,723
265,565
828,49
461,604
992,800
718,401
644,906
728,893
676,328
753,677
158,874
728,407
159,461
308,513
70,285
960,997
998,316
445,899
577,801
500,236
768,869
